book_id,books_count,authors,original_publication_year,title,language_code,average_rating,image_url
1,272,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",eng,4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,491,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,https://images.gr-assets.com/books/1474154022m/3.jpg
3,226,Stephenie Meyer,2005,"Twilight (Twilight, #1)",en-US,3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,487,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,1356,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,226,John Green,2012,The Fault in Our Stars,eng,4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,969,J.R.R. Tolkien,1937,The Hobbit,en-US,4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,360,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,311,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,https://images.gr-assets.com/books/1303390735m/960.jpg
10,3455,Jane Austen,1813,Pride and Prejudice,eng,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,283,Khaled Hosseini,2003,The Kite Runner,eng,4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,210,Veronica Roth,2011,"Divergent (Divergent, #1)",eng,4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,995,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,eng,4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,896,George Orwell,1945,Animal Farm,eng,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,710,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,eng,4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,274,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,201,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",eng,4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,376,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,https://images.gr-assets.com/books/1499277281m/5.jpg
19,566,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,https://images.gr-assets.com/books/1298411339m/34.jpg
20,239,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",eng,4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,307,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,https://images.gr-assets.com/books/1387141547m/2.jpg
22,183,Alice Sebold,2002,The Lovely Bones,eng,3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,398,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,332,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,https://images.gr-assets.com/books/1361482611m/6.jpg
25,263,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,350,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,https://images.gr-assets.com/books/1303252999m/968.jpg
27,275,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,https://images.gr-assets.com/books/1361039191m/1.jpg
28,458,William Golding,1954,Lord of the Flies,eng,3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,1937,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,eng,3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,196,Gillian Flynn,2012,Gone Girl,eng,4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg
